feature1,feature2,feature3,feature4,feature5,feature6,Species
1,5.1,3.5,1.4,0.565839971,0.2,1
2,4.9,3,1.4,0.141260015,0.2,1
3,4.7,3.2,1.3,0.469500435,0.2,1
4,4.6,3.1,1.5,0.407102513,0.2,1
5,5,3.6,1.4,0.446531943,0.2,1
6,5.4,3.9,1.7,0.693939137,0.4,1
7,4.6,3.4,1.4,0.245847534,0.3,1
8,5,3.4,1.5,0.232892934,0.2,1
9,4.4,2.9,1.4,0.126622274,0.2,1
10,4.9,3.1,1.5,0.551057761,0.1,1
11,5.4,3.7,1.5,0.547775833,0.2,1
12,4.8,3.4,1.6,0.097336367,0.2,1
13,4.8,3,1.4,0.320625517,0.1,1
14,4.3,3,1.1,0.17067807,0.1,1
15,5.8,4,1.2,0.853498432,0.2,1
16,5.7,4.4,1.5,0.354472251,0.4,1
17,5.4,3.9,1.3,0.530657226,0.4,1
18,5.1,3.5,1.4,0.340342481,0.3,1
19,5.7,3.8,1.7,0.893338801,0.3,1
20,5.1,3.8,1.5,0.116114734,0.3,1
21,5.4,3.4,1.7,0.838364938,0.2,1
22,5.1,3.7,1.5,0.276023976,0.4,1
23,4.6,3.6,1,0.242963366,0.2,1
24,5.1,3.3,1.7,0.348204421,0.5,1
25,4.8,3.4,1.9,0.162310315,0.2,1
26,5,3,1.6,0.811152969,0.2,1
27,5,3.4,1.6,0.068584156,0.4,1
28,5.2,3.5,1.5,0.735233645,0.2,1
29,5.2,3.4,1.4,0.75938836,0.2,1
30,4.7,3.2,1.6,0.062836733,0.2,1
31,4.8,3.1,1.6,0.796942054,0.2,1
32,5.4,3.4,1.5,0.095009488,0.4,1
33,5.2,4.1,1.5,0.029975005,0.1,1
34,5.5,4.2,1.4,0.901613213,0.2,1
35,4.9,3.1,1.5,0.738673113,0.2,1
36,5,3.2,1.2,0.096219842,0.2,1
37,5.5,3.5,1.3,0.586281714,0.2,1
38,4.9,3.6,1.4,0.375119305,0.1,1
39,4.4,3,1.3,0.775218986,0.2,1
40,5.1,3.4,1.5,0.829339077,0.2,1
41,5,3.5,1.3,0.853104026,0.3,1
42,4.5,2.3,1.3,0.465394989,0.3,1
43,4.4,3.2,1.3,0.436221034,0.2,1
44,5,3.5,1.6,0.624490996,0.6,1
45,5.1,3.8,1.9,0.91145377,0.4,1
46,4.8,3,1.4,0.770977008,0.3,1
47,5.1,3.8,1.6,0.8717035,0.2,1
48,4.6,3.2,1.4,0.16403991,0.2,1
49,5.3,3.7,1.5,0.890438157,0.2,1
50,5,3.3,1.4,0.410371886,0.2,1
51,7,3.2,4.7,0.641230464,1.4,2
52,6.4,3.2,4.5,0.117759567,1.5,2
53,6.9,3.1,4.9,0.847341975,1.5,2
54,5.5,2.3,4,0.91165466,1.3,2
55,6.5,2.8,4.6,0.156549823,1.5,2
56,5.7,2.8,4.5,0.154199285,1.3,2
57,6.3,3.3,4.7,0.72740186,1.6,2
58,4.9,2.4,3.3,0.542099681,1,2
59,6.6,2.9,4.6,0.128147309,1.3,2
60,5.2,2.7,3.9,0.833992321,1.4,2
61,5,2,3.5,0.530616826,1,2
62,5.9,3,4.2,0.802048543,1.5,2
63,6,2.2,4,0.082740069,1,2
64,6.1,2.9,4.7,0.224641624,1.4,2
65,5.6,2.9,3.6,0.852400051,1.3,2
66,6.7,3.1,4.4,0.6252552,1.4,2
67,5.6,3,4.5,0.708802737,1.5,2
68,5.8,2.7,4.1,0.114559929,1,2
